Integrated Canine Data Commons (ICDC) Cross Mapping																																	hide	hide	hide	hide	hide	hide																				
ICDC Model (WHAT IS VERSION NUMBER?)									Comparative Oncology Trials Consortium (COTC007B) (WHAT IS VERSION NUMBER?)								National Center for Advancing Translational Sciences (NCATS) (WHAT IS VERSION NUMBER?)								PRE-medical Cancer Immunotherapy Network Canine Trials (PRECINCT V1.0.20180918)								NCI Thesaurus (NCIt)			CDISC CDASH v2.1			CDISC SDTM IG v3.3 SENDIG-AR v1.0											BRIDG v5.3.1								
Node	Property	Element Type	Data Type	Cardinality	Semantic Description	Value Set or Examples	Review By	"Comments, Issues & Rationale"	Group Name	Element Name	Data Type	Cardinality	Semantic Description	Value Set or Examples	Review By	"Comments, Issues & Rationale"	Group Name	Element Name	Data Type	Cardinality	Semantic Description	Value Set or Examples	Review By	"Comments, Issues & Rationale"	Group Name	Element Name	Data Type	Cardinality	Semantic Description	Value Set or Examples	Review By	"Comments, Issues & Rationale"	NCIt Concept Code	NCIt Preferred Term	NCIt Definition	SDTM Domain	SDTM Variable	SDTM É	Domain	Variable	Variable Label	Type	CodeList	Role	Notes	Core	"Codelist NCIt 
C-Code"	CT Term	"CT NCIt 
C-Code"	Mapping Path	Class	Element	Element Type	Data Type	Cardinality	Description	Review By	"Comments, Issues & Rationale"
adverse_event	of_case > case	Relation																																																AdverseEvent > PerformedObservation > Subject.identifier	Activity	involvedSubject(Subject)	Assoc		0..1	"Activity [involvingActivity] (0..*) be participated in by / participate in (0..1) [involvedSubject] Subject
DESCRIPTION:
Each Activity might be participated in by one Subject. Each Subject might participate in one or more Activity.

DEFINITION:

EXAMPLE(S):

OTHER NAME(S):

NOTE(S):
"		
agent		Node																																																Product	Product		Class			"DEFINITION:
A material produced by or resulting from a process.

EXAMPLE(S):
animal and human drugs; therapeutic biologics; allergenics; cell, tissue and gene therapy products; blood components; blood derivative products; devices; animal (pets and livestock) and human food/feed (medicated and un-medicated); cosmetics; pet treats; dietary supplements [examples from FDA's list of regulated products]

Therapeutic devices, software programs, diagnostic or storage equipment, pill bottle, tube rack

Natural or Synthesized DNA

The HeLa cell line, the HEK-293 cell line

OTHER NAME(S):

NOTE(S):
The term ÒProductÓ as a class name in BRIDG is not intended to imply commercial products only, but rather any material that is produced by a process. This includes biologics collected for testing, transplant or replication, as well as tissue that is banked."	ICDC team	"Q #1:  Is this structure a reference for agent_administration.medication?  Assuming so but not sure why this is here if all that is captured is the name (and crf_id) 
Q #2:  Are the agents always drugs or could they be other kinds of products, like biologics or food?  Assuming that's possible, so using Product rather than Drug."
agent	document_number	Property																																																							ICDC team	Q:  What is this document number? How is it related to the agent?
agent	medication	Property																																																Product > MaterialName.name	MaterialName	name	Attrib	TN	0..1	"DEFINITION:
A non-unique textual identifier for the material.  

EXAMPLE(S):
The therapeutic agent used in a chemotherapy clinical trial.

OTHER NAME(S):

NOTE(S):"		
agent	of_study_arm > study_arm	Relation																																																"DERIVED FROM:
Product > DefinedSubstanceAdministration > StudyActivity > PlannedActivity > Arm"								"This mapping assumes the nature of this relationship is protocol driven (once per study arm and agent), rather than driven by actual activities that have occurred on the study. (per subject or administration)   From the BRIDG perspective, the ICDC relationship contracts a lot of semantics into a derived relationship"
agent_administration		Node																																																"StudySubject > PerformedSubstanceAdministration WHERE PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""agent administration"""	PerformedSubstanceAdministration		Class			"DEFINITION:
The completed action of applying, introducing or otherwise giving medications or other substances to the subject or experimental unit.

EXAMPLE(S):
An experimental unit who receives methotrexate as part of chemotherapy, radiation therapy.

For a SubstanceAdministration, targetAnatomicSiteCode = coronary artery, approachAnatomicSiteCode = groin, routeOfAdministrationCode = intra-arterial.

OTHER NAME(S):

NOTE(S):"		"CONSIDER standardizing the data element name parts - e.g. use words like ""amount"", ""dose"", ""level"", etc. consistently.  "
agent_administration	comment	Property																																																"StudySubject > PerformedSubstanceAdministration.comment WHERE PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""agent administration"""	Activity	comment	Attrib	ST	0..1	"DEFINITION:
Additional description of the activity.

EXAMPLE(S):
Guidance on how to perform the observation. (for DefinedObservation.comment)

OTHER NAME(S):

NOTE(S):"		
agent_administration	crf_id	Property																																																							"BRIDG

ICDC team"	"Q for BRIDG:  consider adding or promoting the milestone association to DocumentVersion so that any kind of activity can be documented on a CRF - or do we already have support for that?

Q for ICDC:  What CRF is this?"
agent_administration	date_of_missed_dose	Property																																																"StudySubject > PerformedSubstanceAdministration.dateRange WHERE PerformedSubstanceAdministration.negationIndicator = ""true"" AND PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""agent administration"""	PerformedActivity	dateRange	Attrib	IVL<TS.DATETIME>	0..1	"DEFINITION:
The date and time span when this activity began and ended.

EXAMPLE(S):
The date and time when a sample is taken from the subject. 

A dose of chemotherapy is given on June 12th starting at 9am and finishing at 12pm.

OTHER NAME(S):

NOTE(S):
Whether administrative or preparatory activities are included in this time frame is up to whoever is defining the activity - this time frame is all that matters when the activity occurred.

The date range is an interval (IVL) data type, meaning it has a beginning (low) and end (high) values. It is also a datetime (TS.DATETIME) data type, meaning the beginning date and the end date can have uncertain values (e.g., a range). For example, if a subject was diagnosed with leukemia sometime in 2009 and that subject had a transplant (substance administration) sometime in 2010. We can surmise that the subject must have had a preparative regimen sometime between those times. Therefore the preparative regimen activity would have a beginning (low) date range of between 2009-01-01 and 2009-12-31; and an ending (high) date range of between 2010-01-01 and 2010-12-31. The precise data type mappings would be:
IVL&lt;TS.DATETIME&gt;.low.uncertainRange.low = 2009-01-01
IVL&lt;TS.DATETIME&gt;.low.uncertainRange.high = 2009-12-31
IVL&lt;TS.DATETIME&gt;.high.uncertainRange.low = 2010-01-01
IVL&lt;TS.DATETIME&gt;.high.uncertainRange.high = 2010-12-31

[Note that times are left out of the example to keep it as simple as possible.]"		"Setting negation indicator to ""true"" means you are asserting that the activity explicitly did not occur."
agent_administration	document_number	Property																																																							ICDC team	Q:  Is this the same thing as the crd_id?
agent_administration	dose_level	Property																																																"StudySubject > PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.productDose(PQ).value WHERE DefinedActivity.nameCode = ""agent administration"""	PerformedSubstanceAdministration	productDose	Attrib	PQ	0..1	"DEFINITION:
The quantity of a substance or medication used in a substance administration.

EXAMPLE(S):
5 mg

OTHER NAME(S):

NOTE(S):
DefinedSubstanceAdministration.productDose can contain a dose expressed in absolute or relative terms (e.g., mg or mg/kg). ScheduledSubstanceAdministration.activeIngredientDose and PerformedSubstanceAdministration.productDose must contain a dose expressed in absolute terms (e.g., mg). If the DefinedSubstanceAdministration.productDose was expressed in relative terms (e.g., mg/kg), then the absolute dose must have been calculated using one or more observed factors as identified by the DefinedExpressionVariableRelationship."	ICDC team	"Q:  Is this an amount or a formula?  Why use the word ""level"" vs ""amount""?  Is there a difference in meaning?

This mapping assumes this concept is paired with the dose_units_of_measure."
agent_administration	dose_units_of_measure	Property																																																"StudySubject > PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.productDose(PQ).unit WHERE DefinedActivity.nameCode = ""agent administration"""	PerformedSubstanceAdministration	productDose	Attrib	PQ	0..1	"DEFINITION:
The quantity of a substance or medication used in a substance administration.

EXAMPLE(S):
5 mg

OTHER NAME(S):

NOTE(S):
DefinedSubstanceAdministration.productDose can contain a dose expressed in absolute or relative terms (e.g., mg or mg/kg). ScheduledSubstanceAdministration.activeIngredientDose and PerformedSubstanceAdministration.productDose must contain a dose expressed in absolute terms (e.g., mg). If the DefinedSubstanceAdministration.productDose was expressed in relative terms (e.g., mg/kg), then the absolute dose must have been calculated using one or more observed factors as identified by the DefinedExpressionVariableRelationship."	ICDC team	"Q:  What's the difference between medication_actual_units_of_measure, medication_units_of_measure, and dose_units_of_measure?

This mapping assumes this concept is paired with dose_level."
agent_administration	medication	Property																																																"StudySubject > PerformedSubstanceAdministration > Drug > MaterialName.name WHERE PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""agent administration"""	MaterialName	name	Attrib	TN	0..1	"DEFINITION:
A non-unique textual identifier for the material.  

EXAMPLE(S):
The therapeutic agent used in a chemotherapy clinical trial.

OTHER NAME(S):

NOTE(S):"		
agent_administration	medication_actual_dose	Property																																																"StudySubject > PerformedSubstanceAdministration.productDose(PQ).value WHERE PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""agent administration"""	PerformedSubstanceAdministration	productDose	Attrib	PQ	0..1	"DEFINITION:
The quantity of a substance or medication used in a substance administration.

EXAMPLE(S):
5 mg

OTHER NAME(S):

NOTE(S):
DefinedSubstanceAdministration.productDose can contain a dose expressed in absolute or relative terms (e.g., mg or mg/kg). ScheduledSubstanceAdministration.activeIngredientDose and PerformedSubstanceAdministration.productDose must contain a dose expressed in absolute terms (e.g., mg). If the DefinedSubstanceAdministration.productDose was expressed in relative terms (e.g., mg/kg), then the absolute dose must have been calculated using one or more observed factors as identified by the DefinedExpressionVariableRelationship."	ICDC team	"Q:  How is medication_actual_dose related to dose_level?

This mapping assumes this concept is paired with medication_actual_units_of_measure."
agent_administration	medication_actual_units_of_measure	Property																																																"StudySubject > PerformedSubstanceAdministration.productDose(PQ).unit WHERE PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""agent administration"""	PerformedSubstanceAdministration	productDose	Attrib	PQ	0..1	"DEFINITION:
The quantity of a substance or medication used in a substance administration.

EXAMPLE(S):
5 mg

OTHER NAME(S):

NOTE(S):
DefinedSubstanceAdministration.productDose can contain a dose expressed in absolute or relative terms (e.g., mg or mg/kg). ScheduledSubstanceAdministration.activeIngredientDose and PerformedSubstanceAdministration.productDose must contain a dose expressed in absolute terms (e.g., mg). If the DefinedSubstanceAdministration.productDose was expressed in relative terms (e.g., mg/kg), then the absolute dose must have been calculated using one or more observed factors as identified by the DefinedExpressionVariableRelationship."	ICDC team	"Q:  What's the difference between medication_actual_units_of_measure, medication_units_of_measure, and dose_units_of_measure?

This mapping assumes this concept is paired with medication_actual_dose"
agent_administration	medication_course_number	Property																																																"StudySubject > PerformedSubstanceAdministration > PerformedActivityRelationship > PerformedActivity.repetitionNumber WHERE PerformedActivity > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""course"""	PerformedActivity	repetitionNumber	Attrib	INT.POS	0..1	"(derived)
DEFINITION:
An integer that identifies the particular occurrence of a repeating activity. The first repetition is defined as '1'.

EXAMPLE(S):
A PlannedActivity might have a repeatQuantity of 4 which would result in 4 ScheduledActivity and PerformedActivity with repetitionNumbers of 1, 2, 3, and 4 respectively.

OTHER NAME(S):

NOTE(S):
Derived from ScheduledActivity.repetitionNumber."	"ICDC team

BRIDG"	"Q for ICDC:  Have you thought of standardizing on either ""cycle"" or ""course"" for consistency sake?  Some in the research world use the terms interchangably and others think they mean something different.

Q for BRIDG:  Consider an instance diagram to clarify relationships between activity types - lower level activities and course/cycle and whatever is above that."
agent_administration	medication_duration	Property																																																"StudySubject > PerformedSubstanceAdministration.duration WHERE PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""agent administration"""	PerformedActivity	duration	Attrib	PQ.TIME	0..1	"(derived)
DEFINITION:
The period of time over which the activity is performed.

EXAMPLE(S):

OTHER NAME(S):

NOTE(S):
Derived from the notion of duration in the IVL (width) portion of the dateRange attribute."		
agent_administration	medication_lot_number	Property																																																"StudySubject > PerformedSubstanceAdministration > Drug.lotNumberText WHERE PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""agent administration"""	Product	lotNumberText	Attrib	ST.SIMPLE	0..1	"DEFINITION:
An alphanumeric string used to identify a particular batch of the product.

EXAMPLE(S):

OTHER NAME(S):

NOTE(S):"		
agent_administration	medication_missed_dose	Property																																																"StudySubject > PerformedSubstanceAdministration.productDose(PQ).value WHERE PerformedSubstanceAdministration.negationIndicator = ""true"" AND PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.nameCode = ""agent administration"""	PerformedSubstanceAdministration	productDose	Attrib	PQ	0..1	"DEFINITION:
The quantity of a substance or medication used in a substance administration.

EXAMPLE(S):
5 mg

OTHER NAME(S):

NOTE(S):
DefinedSubstanceAdministration.productDose can contain a dose expressed in absolute or relative terms (e.g., mg or mg/kg). ScheduledSubstanceAdministration.activeIngredientDose and PerformedSubstanceAdministration.productDose must contain a dose expressed in absolute terms (e.g., mg). If the DefinedSubstanceAdministration.productDose was expressed in relative terms (e.g., mg/kg), then the absolute dose must have been calculated using one or more observed factors as identified by the DefinedExpressionVariableRelationship."	ICDC team	Q:  What's the difference between medication_missed_dose and missed_dose_amount?  Is this a flag?
agent_administration	medication_units_of_measure	Property																																																"StudySubject > PerformedSubstanceAdministration > PlannedActivity > StudyActivity > DefinedActivity.productDose(PQ).unit WHERE DefinedActivity.nameCode = ""agent administration"""	PerformedSubstanceAdministration	productDose	Attrib	PQ	0..1	"DEFINITION:
The quantity of a substance or medication used in a substance administration.

EXAMPLE(S):
5 mg

OTHER NAME(S):

NOTE(S):
DefinedSubstanceAdministration.productDose can contain a dose expressed in absolute or relative terms (e.g., mg or mg/kg). ScheduledSubstanceAdministration.activeIngredientDose and PerformedSubstanceAdministration.productDose must contain a dose expressed in absolute terms (e.g., mg). If the DefinedSubstanceAdministration.productDose was expressed in relative terms (e.g., mg/kg), then the absolute dose must have been calculated using one or more observed factors as identified by the DefinedExpressionVariableRelationship."	"ICDC team

BRIDG"	"Q for ICDC:  What's the difference between medication_actual_units_of_measure, medication_units_of_measure, and dose_units_of_measure?

This mapping assumes this concept is the intended units of measure per the protocol.

Q for BRIDG:  Should we  consider making this a scheduled subst admin or a planned subst admin?  might be former if definition indicates - may need to figure out how much might be actually scheduled here vs planned, etc."
